number,question,option_a,option_b,option_c,option_d,correct_answer,state
1,"In Deutschland dürfen Menschen offen etwas gegen die Regierung sagen, weil ...",hier Meinungsfreiheit gilt.,hier Religionsfreiheit gilt.,die Menschen Steuern zahlen.,die Menschen das Wahlrecht haben.,A,Allgemein (alle Bundesländer)
2,"In Deutschland können Eltern bis zum 14. Lebensjahr ihres Kindes entscheiden, ob es in der Schule am Religionsunterricht teilnimmt.",Religionsunterricht teilnimmt.,Geschichtsunterricht teilnimmt.,Politikunterricht teilnimmt.,Sprachunterricht teilnimmt.,A,Allgemein (alle Bundesländer)
3,Deutschland ist ein Rechtsstaat. Was ist damit gemeint?,Alle Einwohner und der Staat müssen sich an die Gesetze halten.,Der Staat muss sich nicht an die Gesetze halten.,Nur Deutsche müssen die Gesetze befolgen.,Die Gerichte machen die Gesetze.,A,Allgemein (alle Bundesländer)
4,Welches Recht gehört zu den Grundrechten in Deutschland?,Meinungsfreiheit,Waffenbesitz,Faustrecht,Selbstjustiz,A,Allgemein (alle Bundesländer)
5,Wahlen in Deutschland sind frei. Was bedeutet das?,Der Wähler darf weder beeinflusst noch zu einer Stimmabgabe gezwungen werden.,"Man darf Geld annehmen, wenn man dafür einen bestimmten Kandidaten wählt.","Nur Personen, die noch nie im Gefängnis waren, dürfen wählen.",Alle wahlberechtigten Personen müssen wählen.,A,Allgemein (alle Bundesländer)
6,Wie heißt die deutsche Verfassung?,Grundgesetz,Volksgesetz,Bundesgesetz,Deutsches Gesetz,A,Allgemein (alle Bundesländer)
7,Welches Recht gehört zu den Grundrechten nach der deutschen Verfassung?,Glaubens- und Gewissensfreiheit,Unterhaltung,Arbeit,Wohnung,A,Allgemein (alle Bundesländer)
8,Was steht nicht im Grundgesetz von Deutschland?,Alle sollen gleich viel Geld haben.,Die Würde des Menschen ist unantastbar.,Jeder Mensch darf seine Meinung sagen.,Alle sind vor dem Gesetz gleich.,A,Allgemein (alle Bundesländer)
9,Welches Grundrecht gilt in Deutschland nur für Ausländer?,Asyl,Schutz der Familie,Menschenwürde,Meinungsfreiheit,A,Allgemein (alle Bundesländer)
10,Was ist mit dem deutschen Grundgesetz vereinbar?,die Geldstrafe,die Prügelstrafe,die Folter,die Todesstrafe,A,Allgemein (alle Bundesländer)
11,Wie wird die Verfassung der Bundesrepublik Deutschland genannt?,Grundgesetz,Bundesverfassung,Gesetzbuch,Verfassungsvertrag,A,Allgemein (alle Bundesländer)
12,Eine Partei im Deutschen Bundestag will die Pressefreiheit abschaffen. Ist das möglich?,"Nein, denn die Pressefreiheit ist ein Grundrecht und kann nicht abgeschafft werden.","Ja, wenn mehr als die Hälfte der Abgeordneten dafür sind.","Ja, aber dazu müssen zwei Drittel der Abgeordneten dafür sein.","Nein, denn nur der Bundesrat kann die Pressefreiheit abschaffen.",A,Allgemein (alle Bundesländer)
13,Im Parlament steht der Begriff Opposition für...,"alle Abgeordneten, die nicht zur Regierungspartei gehören.",die regierenden Parteien.,die Fraktion mit den meisten Abgeordneten.,"alle Parteien, die die 5%-Hürde erreicht haben.",A,Allgemein (alle Bundesländer)
14,"Meinungsfreiheit in Deutschland heißt zum Beispiel, dass ich...",meine Meinung im Internet äußern kann.,Passanten auf der Straße beschimpfen darf.,Nazi- oder IS-Symbole öffentlich tragen darf.,"meine Meinung nur äußern darf, solange ich der Regierung nicht widerspreche.",A,Allgemein (alle Bundesländer)
15,Was verbietet das deutsche Grundgesetz?,Zwangsarbeit,Militärdienst,freie Berufswahl,Arbeit im Ausland,A,Allgemein (alle Bundesländer)
16,Wann ist die Meinungsfreiheit in Deutschland eingeschränkt?,bei der öffentlichen Verbreitung falscher Behauptungen über einzelne Personen,bei Meinungsäußerungen über die Bundesregierung,bei Diskussionen über Religionen,bei Kritik am Staat,A,Allgemein (alle Bundesländer)
17,Die deutschen Gesetze verbieten...,Ungleichbehandlung der Bürger durch den Staat.,Meinungsfreiheit der Einwohner.,Petitionen der Bürger.,Versammlungsfreiheit der Einwohner.,A,Allgemein (alle Bundesländer)
18,Welches Grundrecht ist in Artikel 1 des Grundgesetzes garantiert?,die Unantastbarkeit der Menschenwürde,das Recht auf Leben,Religionsfreiheit,Meinungsfreiheit,A,Allgemein (alle Bundesländer)
19,Was versteht man unter dem Recht der Freizügigkeit in Deutschland?,Man darf sich seinen Wohnort selbst aussuchen.,Man kann seinen Beruf wechseln.,Man darf sich für eine andere Religion entscheiden.,Man darf sich in der Öffentlichkeit nur leicht bekleidet bewegen.,A,Allgemein (alle Bundesländer)
20,Eine Partei in Deutschland verfolgt das Ziel eine Diktatur zu errichten. Sie ist dann...,verfassungswidrig.,tolerant.,rechtsstaatlich orientiert.,gesetzestreu.,A,Allgemein (alle Bundesländer)
21,Welches ist das Wappen der Bundesrepublik Deutschland? (Bildaufgabe),Antwort 1 (Bundesadler),Antwort 2,Antwort 3,Antwort 4,A,Allgemein (alle Bundesländer)
22,Was für eine Staatsform hat Deutschland?,Republik,Monarchie,Diktatur,Fürstentum,A,Allgemein (alle Bundesländer)
23,In Deutschland sind die meisten Erwerbstätigen...,bei einer Firma oder Behörde beschäftigt.,in kleinen Familienunternehmen beschäftigt.,ehrenamtlich für ein Bundesland tätig.,selbständig mit einer eigenen Firma tätig.,A,Allgemein (alle Bundesländer)
24,Wie viele Bundesländer hat die Bundesrepublik Deutschland?,16,14,15,17,A,Allgemein (alle Bundesländer)
25,Was ist kein Bundesland der Bundesrepublik Deutschland?,Elsass-Lothringen,Nordrhein-Westfalen,Mecklenburg-Vorpommern,Sachsen-Anhalt,A,Allgemein (alle Bundesländer)
26,Deutschland ist...,ein demokratischer und sozialer Bundesstaat.,eine kommunistische Republik.,eine kapitalistische und soziale Monarchie.,ein sozialer und sozialistischer Bundesstaat.,A,Allgemein (alle Bundesländer)
27,Deutschland ist... (2),ein Bundesstaat.,ein sozialistischer Staat.,eine Diktatur.,eine Monarchie.,A,Allgemein (alle Bundesländer)
28,Wer wählt in Deutschland die Abgeordneten zum Bundestag?,das wahlberechtigte Volk,das Militär,die Wirtschaft,die Verwaltung,A,Allgemein (alle Bundesländer)
29,Welches Tier ist das Wappentier der Bundesrepublik Deutschland?,Adler,Löwe,Bär,Pferd,A,Allgemein (alle Bundesländer)
30,Was ist kein Merkmal unserer Demokratie?,Pressezensur,regelmäßige Wahlen,Meinungsfreiheit,verschiedene Parteien,A,Allgemein (alle Bundesländer)
31,Die Zusammenarbeit von Parteien zur Bildung einer Regierung nennt man in Deutschland...,Koalition.,Einheit.,Ministerium.,Fraktion.,A,Allgemein (alle Bundesländer)
32,Was ist keine staatliche Gewalt in Deutschland?,Presse,Gesetzgebung,Regierung,Rechtsprechung,A,Allgemein (alle Bundesländer)
33,Welche Aussage ist richtig? In Deutschland...,sind Staat und Religionsgemeinschaften voneinander getrennt.,bilden die Religionsgemeinschaften den Staat.,ist der Staat abhängig von den Religionsgemeinschaften.,bilden Staat und Religionsgemeinschaften eine Einheit.,A,Allgemein (alle Bundesländer)
34,Was ist Deutschland nicht?,eine Monarchie,eine Demokratie,ein Rechtsstaat,ein Sozialstaat,A,Allgemein (alle Bundesländer)
35,Womit finanziert der deutsche Staat die Sozialversicherung?,Sozialabgaben,Kirchensteuern,Spendengeldern,Vereinsbeiträgen,A,Allgemein (alle Bundesländer)
